what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1641997002075
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1641997008415
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1641997010572
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1641997010597
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1641997022894
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1641997023999
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1641997036850
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1641997039654
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1641997043154
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1641997045080
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.opendecl",1641997047865
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.opendecl",1641997051369
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1641997055922
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1641997061532
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1641997066455
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1641997068618
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1641997068661
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1641997069113
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1641997071526
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1641997071635
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1641997074288
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1641997085421
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1641997085451
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1641997089999
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1641997090093
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1641997091199
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1641997092167
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1641997094832
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1641997094859
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1641997095081
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1641997095193
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1641997096631
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1641997105798
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1641997117972
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1641997120050
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1641997136769
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1641997156483
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1641997162641
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1641997165885
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1641997167242
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1641997224766
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1641997310817
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1641997319248
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1641997319476
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1641997319562
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1641997334859
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1641997341974
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1641997343556
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1641997345903
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1641997350437
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1641997357250
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1641997361791
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1641997384651
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1641997391466
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1641997422728
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1641997433846
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1641997434886
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1641997435684
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1641997437392
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1641997438180
error,log,,,"Unhandled event loop exception",1641997438928
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1641997453226
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1641997461221
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1641997462190
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1641997463807
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1641997465975
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1641997474970
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1641997482536
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1641997498178
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1641997501176
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1641997510660
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1641997545105
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1641997550162
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1641997619781
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1641997697862
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1641997709751
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1641997710569
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1641997738279
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1641997750144
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1641997756371
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1641997827362
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1641997833374
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1641997834905
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1641997840161
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1641997846617
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1641997856451
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1641997875556
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1641997876264
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1641997880549
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1641997880668
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1641997893294
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1641997901860
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1641997902019
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1641997902019
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1641998076877
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1641998300870
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1641998300960
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1641998395828
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1641998514079
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1641998514127
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1641998528159
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1641998599197
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1641998599377
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1641998617868
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1641998617868
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1641998639297
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1641998643771
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1641998644129
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1641998644698
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1641998644699
stopped,bundle,com.altera.debug.cdi.gdb.plugin,13.13.0.132,"com.altera.debug.cdi.gdb.plugin",1641998644711
stopped,bundle,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch",1641998644711
stopped,bundle,com.altera.sbtgui.ui,13.13.0.132,"com.altera.sbtgui.ui",1641998644712
stopped,bundle,com.altera.sbtgui.project,13.13.0.132,"com.altera.sbtgui.project",1641998644712
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1641998644713
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1641998644713
stopped,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1641998644714
stopped,bundle,org.eclipse.cdt.launch.remote,2.3.0.201202111925,"org.eclipse.cdt.launch.remote",1641998644719
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1641998644727
